cons_12m,cons_gas_12m,cons_last_month,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,date_activ_day,date_activ_month,date_activ_year,date_end_day,date_end_month,date_end_year,date_modif_prod_day,date_modif_prod_month,date_modif_prod_year,date_renewal_day,date_renewal_month,date_renewal_year,churn
0,54946,0,0.0,0,0.0,1.78,0.114481,0.098142,40.606701,0.0,25.44,25.44,2,678.99,3,43.648,15,6,2013,15,6,2016,1,11,2015,23,6,2015,1
4660,0,0,189.95,0,0.0,16.27,0.1457109999999999,0.0,44.31137796,0.0,16.38,16.38,1,18.89,6,13.8,21,8,2009,30,8,2016,21,8,2009,31,8,2015,0
544,0,0,47.96,0,0.0,38.72,0.165794,0.087899,44.31137796,0.0,28.6,28.6,1,6.6,6,13.856,16,4,2010,16,4,2016,16,4,2010,17,4,2015,0
1584,0,0,240.04,0,0.0,19.83,0.146694,0.0,44.31137796,0.0,30.22,30.22,1,25.46,6,13.2,30,3,2010,30,3,2016,30,3,2010,31,3,2015,0
4425,0,526,445.75,526,0.0,131.73,0.1169,0.1000149999999999,40.606701,52.32,44.91,44.91,1,47.98,6,19.8,13,1,2010,7,3,2016,13,1,2010,9,3,2015,0
8302,0,1998,796.94,1998,0.0,30.12,0.164775,0.086131,45.30837756,181.21,33.12,33.12,1,118.89,4,13.2,9,12,2011,9,12,2016,1,11,2015,10,12,2015,1
45097,0,0,8069.28,0,0.0,0.0,0.166178,0.087538,44.31137796,0.0,4.04,4.04,1,346.63,4,15.0,2,12,2011,2,12,2016,2,12,2011,3,12,2015,1
29552,0,1260,864.73,751,0.0,144.49,0.115174,0.098837,40.606701,70.63,53.92,53.92,1,100.09,6,26.4,21,4,2010,21,4,2016,21,4,2010,22,4,2015,0
2962,0,0,444.38,0,0.0,15.85,0.1457109999999999,0.0,44.31137796,0.0,12.82,12.82,1,42.59,4,13.2,23,9,2011,23,9,2016,23,9,2011,25,9,2015,0
26064,0,2188,2738.1,2188,0.0,130.43,0.1157609999999999,0.099419,40.606701,219.59,33.42,33.42,1,329.6,6,31.5,4,5,2010,4,5,2016,29,4,2015,5,5,2015,0
10831,0,3112,1204.58,3112,0.0,20.94,0.1646369999999999,0.087381,44.31137796,349.48,14.52,14.52,1,108.5,5,11.5,11,7,2011,11,7,2016,11,7,2011,12,7,2015,0
4442,0,2489,561.96,2489,0.0,20.5,0.1670859999999999,0.088444,46.30537836,308.41,21.09,21.09,1,18.41,6,10.392,26,11,2009,26,11,2016,26,11,2009,27,11,2015,0
46121,1542867,5280,4502.43,5280,0.0,145.81,0.1152369999999999,0.100123,40.606701,523.68,5.52,5.52,2,533.46,4,16.5,1,9,2011,30,10,2016,30,10,2013,1,11,2015,0
7726,0,0,914.1,0,0.0,74.66,0.162327,0.084428,44.31137796,0.0,33.12,33.12,1,89.02,3,13.2,22,1,2013,22,1,2017,18,11,2015,24,1,2016,0
9707,0,0,1028.52,0,0.0,15.37,0.168242,0.089602,45.30837756,0.0,15.78,15.78,1,111.59,5,13.856,1,12,2010,1,12,2016,1,12,2010,2,12,2015,0
47019,0,3161,1687.29,1080,0.0,16.08,0.144902,0.0,44.31137796,158.53,19.28,19.28,1,130.14,4,10.392,20,4,2012,20,4,2016,20,4,2012,21,4,2015,0
786536,80583,85883,13517.5,23298,0.0,16.6,0.1640579999999999,0.086163,44.31137796,2585.38,25.68,25.68,2,1087.76,6,11.4,15,2,2010,15,2,2016,15,2,2010,16,2,2015,0
30776,0,0,3045.16,0,0.0,118.24,0.1128599999999999,0.096521,40.606701,0.0,19.29,19.29,1,335.78,5,25.0,1,8,2011,25,7,2016,25,7,2014,27,7,2015,0
24838,0,2877,1088.35,798,0.0,141.79,0.115174,0.098837,40.606701,79.36,21.57,21.57,1,117.44,5,15.001,27,5,2011,27,5,2016,27,5,2011,31,5,2015,0
15411,0,0,194.42,0,0.0,18.31,0.1457109999999999,0.0,44.31137796,0.0,23.97,23.97,1,19.07,4,13.0,28,5,2012,28,5,2016,28,5,2012,31,5,2015,0
16782,0,1908,1686.67,1908,0.0,131.77,0.1152369999999999,0.100123,40.606701,189.79,6.6,6.6,2,203.35,6,19.8,1,10,2009,1,10,2016,1,10,2009,3,10,2015,0
26987,0,4099,2761.95,4099,0.0,129.95,0.1186359999999999,0.10175,40.606701,413.68,47.35,47.35,1,316.53,5,35.0,4,3,2011,4,3,2016,4,3,2011,9,3,2015,0
20560,0,3804,3037.82,3804,0.0,0.0,0.142417,0.0,44.31137796,548.89,4.14,4.14,1,255.96,3,11.0,31,12,2012,31,12,2016,1,11,2015,1,1,2016,0
12157,0,0,1418.81,0,0.0,16.42,0.160302,0.082403,44.31137796,0.0,23.4,23.4,2,123.87,3,10.392,27,2,2013,27,2,2016,16,12,2015,9,3,2015,0
13122,0,0,1932.42,0,0.0,19.51,0.143478,0.0,44.31137796,0.0,3.56,3.56,1,150.7,6,13.2,7,12,2009,7,12,2016,1,11,2015,8,12,2015,0
3584,0,322,379.83,322,0.0,145.98,0.1152369999999999,0.100123,41.1052014,32.61,57.72,57.72,1,38.76,5,23.1,17,11,2010,17,11,2016,17,11,2010,18,11,2015,1
2632,0,0,394.83,0,0.0,15.98,0.1457109999999999,0.0,44.31137796,0.0,14.64,14.64,1,38.62,6,10.392,12,7,2010,12,7,2016,12,7,2010,14,7,2015,0
4792,0,0,719.4,0,0.0,0.0,0.144039,0.0,45.80687796,0.0,19.42,19.42,1,60.0,4,12.5,12,12,2011,12,12,2016,1,11,2015,14,12,2015,0
